   / -------   -------
  *  Capsule Passed: dict_keys([])
   \ -------   -------
0002 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.270  | Cross position []  | time:  0.076
0021 : 1 Stanley2Cross  | offset 1.928  | angle -1.091  | speed_z 0.265  | Cross position []  | time:  0.036
0022 : 1 Stanley2Cross  | offset 2.089  | angle -1.023  | speed_z 0.263  | Cross position []  | time:  0.032
0023 : 1 Stanley2Cross  | offset 2.928  | angle -1.091  | speed_z 0.317  | Cross position []  | time:  0.053
0024 : 1 Stanley2Cross  | offset 2.053  | angle -1.568  | speed_z 0.343  | Cross position []  | time:  0.029
0025 : 1 Stanley2Cross  | offset 3.000  | angle -0.955  | speed_z 0.300  | Cross position []  | time:  0.038
0026 : 1 Stanley2Cross  | offset 4.125  | angle -0.477  | speed_z 0.287  | Cross position []  | time:  0.045
0027 : 1 Stanley2Cross  | offset 2.089  | angle -1.023  | speed_z 0.263  | Cross position []  | time:  0.033
0028 : 1 Stanley2Cross  | offset 0.464  | angle -1.500  | speed_z 0.249  | Cross position []  | time:  0.026
0029 : 1 Stanley2Cross  | offset 4.125  | angle -0.477  | speed_z 0.287  | Cross position []  | time:  0.034
0030 : 1 Stanley2Cross  | offset 5.000  | angle 0.000  | speed_z 0.260  | Cross position []  | time:  0.026
0031 : 1 Stanley2Cross  | offset 1.339  | angle -1.023  | speed_z 0.224  | Cross position []  | time:  0.033
0032 : 1 Stanley2Cross  | offset 3.821  | angle -0.818  | speed_z 0.322  | Cross position []  | time:  0.025
0033 : 1 Stanley2Cross  | offset 1.089  | angle -1.023  | speed_z 0.211  | Cross position []  | time:  0.026
0034 : 1 Stanley2Cross  | offset 2.875  | angle -0.477  | speed_z 0.222  | Cross position []  | time:  0.022
0035 : 1 Stanley2Cross  | offset 2.875  | angle -0.477  | speed_z 0.222  | Cross position []  | time:  0.026
0036 : 1 Stanley2Cross  | offset 1.821  | angle -0.818  | speed_z 0.218  | Cross position []  | time:  0.024
0037 : 1 Stanley2Cross  | offset 3.875  | angle -0.477  | speed_z 0.274  | Cross position []  | time:  0.024
0038 : 1 Stanley2Cross  | offset 1.339  | angle -1.023  | speed_z 0.224  | Cross position []  | time:  0.035
0039 : 1 Stanley2Cross  | offset 1.089  | angle -1.023  | speed_z 0.211  | Cross position []  | time:  0.023
0040 : 1 Stanley2Cross  | offset 1.339  | angle -1.023  | speed_z 0.224  | Cross position []  | time:  0.027
0041 : 1 Stanley2Cross  | offset 2.321  | angle -0.818  | speed_z 0.244  | Cross position []  | time:  0.022
0042 : 1 Stanley2Cross  | offset 1.089  | angle -1.023  | speed_z 0.211  | Cross position []  | time:  0.032
0043 : 1 Stanley2Cross  | offset 5.000  | angle 0.000  | speed_z 0.260  | Cross position []  | time:  0.037
0044 : 1 Stanley2Cross  | offset 5.000  | angle 0.000  | speed_z 0.260  | Cross position []  | time:  0.026
0045 : 1 Stanley2Cross  | offset 1.089  | angle -1.023  | speed_z 0.211  | Cross position []  | time:  0.026
0046 : 1 Stanley2Cross  | offset 4.125  | angle -0.477  | speed_z 0.287  | Cross position []  | time:  0.032
0047 : 1 Stanley2Cross  | offset 3.125  | angle -0.477  | speed_z 0.235  | Cross position []  | time:  0.030
0048 : 1 Stanley2Cross  | offset -0.179  | angle -0.818  | speed_z 0.113  | Cross position []  | time:  0.031
0049 : 1 Stanley2Cross  | offset 3.125  | angle -0.477  | speed_z 0.235  | Cross position []  | time:  0.026
0050 : 1 Stanley2Cross  | offset 2.089  | angle -1.023  | speed_z 0.263  | Cross position []  | time:  0.035
0051 : 1 Stanley2Cross  | offset 1.821  | angle -0.818  | speed_z 0.218  | Cross position []  | time:  0.026
0052 : 1 Stanley2Cross  | offset 4.000  | angle 0.000  | speed_z 0.209  | Cross position []  | time:  0.031
0053 : 1 Stanley2Cross  | offset 1.089  | angle -1.023  | speed_z 0.211  | Cross position []  | time:  0.030
0054 : 1 Stanley2Cross  | offset 2.089  | angle -1.023  | speed_z 0.263  | Cross position []  | time:  0.030
0055 : 1 Stanley2Cross  | offset 1.089  | angle -1.023  | speed_z 0.211  | Cross position []  | time:  0.027
0056 : 1 Stanley2Cross  | offset 1.214  | angle -0.546  | speed_z 0.146  | Cross position []  | time:  0.030
0057 : 1 Stanley2Cross  | offset 4.000  | angle 0.000  | speed_z 0.209  | Cross position []  | time:  0.031
0058 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.028
0059 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.028
0060 : 1 Stanley2Cross  | offset -0.179  | angle -0.818  | speed_z 0.113  | Cross position []  | time:  0.047
0061 : 1 Stanley2Cross  | offset 4.000  | angle 0.000  | speed_z 0.209  | Cross position []  | time:  0.029
0062 : 1 Stanley2Cross  | offset 4.000  | angle 0.000  | speed_z 0.209  | Cross position []  | time:  0.034
0063 : 1 Stanley2Cross  | offset 2.607  | angle -0.273  | speed_z 0.177  | Cross position []  | time:  0.033
0064 : 1 Stanley2Cross  | offset 1.125  | angle -0.477  | speed_z 0.131  | Cross position []  | time:  0.035
0065 : 1 Stanley2Cross  | offset -0.179  | angle -0.818  | speed_z 0.113  | Cross position []  | time:  0.027
0066 : 1 Stanley2Cross  | offset -0.179  | angle -0.818  | speed_z 0.113  | Cross position []  | time:  0.027
0067 : 1 Stanley2Cross  | offset 1.125  | angle -0.477  | speed_z 0.131  | Cross position []  | time:  0.029
0068 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.025
0069 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.029
0070 : 1 Stanley2Cross  | offset 1.125  | angle -0.477  | speed_z 0.131  | Cross position []  | time:  0.027
0071 : 1 Stanley2Cross  | offset 2.000  | angle -0.000  | speed_z 0.105  | Cross position []  | time:  0.027
0072 : 1 Stanley2Cross  | offset 2.000  | angle -0.000  | speed_z 0.105  | Cross position []  | time:  0.028
0073 : 1 Stanley2Cross  | offset 4.000  | angle 0.000  | speed_z 0.209  | Cross position []  | time:  0.027
0074 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.027
0075 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.047
0076 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.028
0077 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.028
0078 : 1 Stanley2Cross  | offset 3.000  | angle 0.000  | speed_z 0.157  | Cross position []  | time:  0.026
0079 : 1 Stanley2Cross  | offset -1.071  | angle -1.091  | speed_z 0.107  | Cross position []  | time:  0.032
0080 : 1 Stanley2Cross  | offset 1.875  | angle -0.477  | speed_z 0.170  | Cross position []  | time:  0.029
0081 : 1 Stanley2Cross  | offset 1.875  | angle -0.477  | speed_z 0.170  | Cross position []  | time:  0.022
0082 : 1 Stanley2Cross  | offset 1.875  | angle -0.477  | speed_z 0.170  | Cross position []  | time:  0.023
0083 : 1 Stanley2Cross  | offset 1.875  | angle -0.477  | speed_z 0.170  | Cross position []  | time:  0.026
0084 : 1 Stanley2Cross  | offset 1.875  | angle -0.477  | speed_z 0.170  | Cross position []  | time:  0.024
0085 : 1 Stanley2Cross  | offset 1.875  | angle -0.477  | speed_z 0.170  | Cross position []  | time:  0.031
0086 : 1 Stanley2Cross  | offset 2.875  | angle -0.477  | speed_z 0.222  | Cross position []  | time:  0.023
0087 : 1 Stanley2Cross  | offset -0.000  | angle -0.000  | speed_z -0.000  | Cross position []  | time:  0.027
0088 : 1 Stanley2Cross  | offset -2.928  | angle 1.091  | speed_z -0.317  | Cross position []  | time:  0.027
0089 : 1 Stanley2Cross  | offset 0.963  | angle 2.318  | speed_z -0.297  | Cross position []  | time:  0.029
0090 : 1 Stanley2Cross  | offset 5.068  | angle 2.045  | speed_z -0.043  | Cross position []  | time:  0.027
0091 : 1 Stanley2Cross  | offset 2.531  | angle 3.406  | speed_z -0.378  | Cross position []  | time:  0.031
0092 : 1 Stanley2Cross  | offset -0.339  | angle 3.882  | speed_z -0.600  | Cross position []  | time:  0.031
0093 : 1 Stanley2Cross  | offset -10.962  | angle 4.764  | speed_z -1.264  | Cross position []  | time:  0.023
0094 : 1 Stanley2Cross  | offset -16.412  | angle 8.797  | speed_z -2.102  | Cross position []  | time:  0.034
0095 : 1 Stanley2Cross  | offset -17.593  | angle 9.529  | speed_z -2.257  | Cross position []  | time:  0.019
0096 : 1 Stanley2Cross  | offset -23.403  | angle 8.464  | speed_z -2.299  | Cross position []  | time:  0.046
0097 : 1 Stanley2Cross  | offset -46.757  | angle 4.899  | speed_z -2.268  | Cross position []  | time:  0.032
0098 : 1 Stanley2Cross  | offset -44.028  | angle 5.508  | speed_z -2.319  | Cross position []  | time:  0.023
0099 : 1 Stanley2Cross  | offset -21.425  | angle 8.464  | speed_z -2.235  | Cross position []  | time:  0.019
0100 : 1 Stanley2Cross  | offset -18.298  | angle 5.237  | speed_z -1.640  | Cross position []  | time:  0.035
0101 : 1 Stanley2Cross  | offset -20.642  | angle 4.153  | speed_z -1.561  | Cross position []  | time:  0.023
0102 : 1 Stanley2Cross  | offset -19.508  | angle 4.628  | speed_z -1.593  | Cross position []  | time:  0.028
0103 : 1 Stanley2Cross  | offset -24.354  | angle 2.386  | speed_z -1.417  | Cross position []  | time:  0.030
0104 : 1 Stanley2Cross  | offset -26.661  | angle -0.068  | speed_z -1.116  | Cross position []  | time:  0.029
0105 : 1 Stanley2Cross  | offset -23.000  | angle -0.000  | speed_z -1.017  | Cross position []  | time:  0.029
0106 : 1 Stanley2Cross  | offset -24.676  | angle -0.818  | speed_z -0.946  | Cross position []  | time:  0.026
0107 : 1 Stanley2Cross  | offset -23.067  | angle -1.091  | speed_z -0.855  | Cross position []  | time:  0.039
0108 : 1 Stanley2Cross  | offset -22.028  | angle -1.500  | speed_z -0.760  | Cross position []  | time:  0.031
0109 : 1 Stanley2Cross  | offset -21.578  | angle -1.841  | speed_z -0.694  | Cross position []  | time:  0.020
0110 : 1 Stanley2Cross  | offset -19.529  | angle -1.500  | speed_z -0.674  | Cross position []  | time:  0.034
0111 : 1 Stanley2Cross  | offset -18.849  | angle -1.637  | speed_z -0.629  | Cross position []  | time:  0.029
0112 : 1 Stanley2Cross  | offset -20.357  | angle -2.386  | speed_z -0.571  | Cross position []  | time:  0.025
0113 : 1 Stanley2Cross  | offset -20.427  | angle -2.522  | speed_z -0.553  | Cross position []  | time:  0.034
0114 : 1 Stanley2Cross  | offset -19.906  | angle -2.726  | speed_z -0.504  | Cross position []  | time:  0.028
0115 : 1 Stanley2Cross  | offset -17.450  | angle -2.318  | speed_z -0.475  | Cross position []  | time:  0.030
0116 : 1 Stanley2Cross  | offset -17.908  | angle -2.726  | speed_z -0.431  | Cross position []  | time:  0.026
0117 : 1 Stanley2Cross  | offset -19.773  | angle -3.202  | speed_z -0.428  | Cross position []  | time:  0.030
0118 : 1 Stanley2Cross  | offset -19.841  | angle -3.338  | speed_z -0.410  | Cross position []  | time:  0.030
0119 : 1 Stanley2Cross  | offset -19.773  | angle -3.202  | speed_z -0.428  | Cross position []  | time:  0.027
0120 : 1 Stanley2Cross  | offset -18.843  | angle -3.338  | speed_z -0.374  | Cross position []  | time:  0.028
0121 : 1 Stanley2Cross  | offset -19.773  | angle -3.202  | speed_z -0.428  | Cross position []  | time:  0.027
0122 : 1 Stanley2Cross  | offset -16.909  | angle -2.726  | speed_z -0.393  | Cross position []  | time:  0.030
0123 : 1 Stanley2Cross  | offset -17.776  | angle -3.202  | speed_z -0.354  | Cross position []  | time:  0.028
0124 : 1 Stanley2Cross  | offset -18.094  | angle -3.338  | speed_z -0.346  | Cross position []  | time:  0.022
0125 : 1 Stanley2Cross  | offset -17.505  | angle -3.406  | speed_z -0.314  | Cross position []  | time:  0.034
0126 : 1 Stanley2Cross  | offset -17.096  | angle -3.338  | speed_z -0.308  | Cross position []  | time:  0.032
0127 : 1 Stanley2Cross  | offset -16.777  | angle -3.202  | speed_z -0.316  | Cross position []  | time:  0.030
0128 : 1 Stanley2Cross  | offset -17.505  | angle -3.406  | speed_z -0.314  | Cross position []  | time:  0.024
0129 : 1 Stanley2Cross  | offset -14.732  | angle -2.862  | speed_z -0.285  | Cross position []  | time:  0.022
0130 : 1 Stanley2Cross  | offset -11.954  | angle -2.318  | speed_z -0.247  | Cross position []  | time:  0.020
0131 : 1 Stanley2Cross  | offset -9.584  | angle -1.841  | speed_z -0.209  | Cross position []  | time:  0.019
0132 : 1 Stanley2Cross  | offset -9.193  | angle -1.568  | speed_z -0.232  | Cross position []  | time:  0.021
0133 : 1 Stanley2Cross  | offset -9.532  | angle -1.500  | speed_z -0.258  | Cross position []  | time:  0.021
0134 : 1 Stanley2Cross  | offset -9.551  | angle -1.296  | speed_z -0.290  | Cross position []  | time:  0.023
0135 : 1 Stanley2Cross  | offset -9.301  | angle -1.296  | speed_z -0.278  | Cross position []  | time:  0.032
0136 : 1 Stanley2Cross  | offset -9.301  | angle -1.296  | speed_z -0.278  | Cross position []  | time:  0.024
0137 : 1 Stanley2Cross  | offset -7.070  | angle -1.091  | speed_z -0.200  | Cross position []  | time:  0.028
0138 : 1 Stanley2Cross  | offset -6.178  | angle -0.818  | speed_z -0.197  | Cross position []  | time:  0.024
0139 : 1 Stanley2Cross  | offset -7.909  | angle -1.023  | speed_z -0.252  | Cross position []  | time:  0.024
0140 : 1 Stanley2Cross  | offset -8.070  | angle -1.091  | speed_z -0.249  | Cross position []  | time:  0.018
0141 : 1 Stanley2Cross  | offset -7.909  | angle -1.023  | speed_z -0.252  | Cross position []  | time:  0.018
0142 : 1 Stanley2Cross  | offset -5.875  | angle -0.477  | speed_z -0.233  | Cross position []  | time:  0.027
0143 : 1 Stanley2Cross  | offset -9.070  | angle -1.091  | speed_z -0.297  | Cross position []  | time:  0.016
0144 : 1 Stanley2Cross  | offset -6.000  | angle 0.000  | speed_z -0.310  | Cross position []  | time:  0.017
0145 : 1 Stanley2Cross  | offset -6.000  | angle 0.000  | speed_z -0.310  | Cross position []  | time:  0.022
0146 : 1 Stanley2Cross  | offset -9.178  | angle -0.818  | speed_z -0.343  | Cross position []  | time:  0.024
0147 : 1 Stanley2Cross  | offset -6.000  | angle 0.000  | speed_z -0.310  | Cross position []  | time:  0.024
0148 : 1 Stanley2Cross  | offset -8.909  | angle -1.023  | speed_z -0.300  | Cross position []  | time:  0.020
0149 : 1 Stanley2Cross  | offset -7.678  | angle -0.818  | speed_z -0.271  | Cross position []  | time:  0.029
0150 : 1 Stanley2Cross  | offset -7.909  | angle -1.023  | speed_z -0.252  | Cross position []  | time:  0.019
0151 : 1 Stanley2Cross  | offset -7.909  | angle -1.023  | speed_z -0.252  | Cross position []  | time:  0.028
0152 : 1 Stanley2Cross  | offset -8.070  | angle -1.091  | speed_z -0.249  | Cross position []  | time:  0.024
0153 : 1 Stanley2Cross  | offset -8.070  | angle -1.091  | speed_z -0.249  | Cross position []  | time:  0.022
0154 : 1 Stanley2Cross  | offset -8.462  | angle -1.228  | speed_z -0.248  | Cross position [225]  | time:  0.020
0155 : 1 Stanley2Cross  | offset -7.452  | angle -0.818  | speed_z -0.260  | Cross position [235, 225]  | time:  0.021
0156 : 1 Stanley2Cross  | offset -5.000  | angle 0.000  | speed_z -0.260  | Cross position [245, 235, 225]  | time:  0.069
   / -------   -------
  *  Capsule Passed: dict_keys(['dist_from_cross'])
   \ -------   -------
0157 : 2 Turn2Road  | phase 0.000  | capsule keys dict_keys(['dist_from_cross'])  | radius 269.184  | rot_z 1.000  | SPEED_X 1.122  | time:  0.030
0158 : 2 Turn2Road  | phase 1.000  | time:  0.022
0159 : 2 Turn2Road  | phase 1.000  | time:  0.023
0160 : 2 Turn2Road  | phase 1.000  | time:  0.030
0161 : 2 Turn2Road  | phase 1.000  | time:  0.025
0162 : 2 Turn2Road  | phase 1.000  | time:  0.030
0163 : 2 Turn2Road  | phase 1.000  | time:  0.029
0164 : 2 Turn2Road  | phase 1.000  | time:  0.026
0165 : 2 Turn2Road  | phase 1.000  | time:  0.025
0166 : 2 Turn2Road  | phase 1.000  | time:  0.029
0167 : 2 Turn2Road  | phase 1.000  | time:  0.017
0168 : 2 Turn2Road  | phase 1.000  | time:  0.018
0169 : 2 Turn2Road  | phase 1.000  | time:  0.026
0170 : 2 Turn2Road  | phase 1.000  | time:  0.025
0171 : 2 Turn2Road  | phase 1.000  | line_not_shown   | time:  0.026
0172 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.031
0173 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.031
0174 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.027
0175 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.020
0176 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.025
0177 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.024
0178 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.046
0179 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.023
0180 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.031
0181 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.031
0182 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.028
0183 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.020
0184 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.026
0185 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.031
0186 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.025
0187 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.028
0188 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.025
0189 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.030
0190 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.024
0191 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.019
0192 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.028
0193 : 2 Turn2Road  | phase 2.000  | line_not_shown   | time:  0.024
0194 : 2 Turn2Road  | phase 2.000  | line_not_shown   | line_on_angle 7.663  | time:  0.028
0195 : 2 Turn2Road  | phase 2.000  | line_not_shown   | line_on_angle 4.988  | time:  0.039
   / -------   -------
  *  Capsule Passed: dict_keys(['dist_from_cross'])
   \ -------   -------
0196 : 3 Stanley2Green  | phase  1.000  | offset -9.346  | angle 4.988  | z speed  -1.222  | time:  0.024
0197 : 3 Stanley2Green  | phase  1.000  | offset -13.296  | angle 3.952  | z speed  -1.246  | time:  0.031
0198 : 3 Stanley2Green  | phase  1.000  | offset -13.084  | angle 3.295  | z speed  -1.138  | time:  0.028
0199 : 3 Stanley2Green  | phase  1.000  | offset -13.841  | angle 2.256  | z speed  -1.015  | time:  0.027
0200 : 3 Stanley2Green  | phase  1.000  | offset -17.497  | angle 1.146  | z speed  -0.996  | time:  0.013
0201 : 3 Stanley2Green  | phase  1.000  | offset -14.962  | angle 0.833  | z speed  -0.849  | true green? 146.000  | true green at [110, 140]  | true green from line 29.361  | time:  0.027
0202 : 3 Stanley2Green  | phase  1.000  | offset -16.612  | angle -0.278  | z speed  -0.748  | time:  0.029
0203 : 3 Stanley2Green  | phase  1.000  | offset -16.382  | angle -2.152  | z speed  -0.458  | time:  0.026
0204 : 3 Stanley2Green  | phase  1.000  | offset -13.800  | angle -4.332  | z speed  -0.025  | time:  0.025
0205 : 3 Stanley2Green  | phase  1.000  | offset -14.428  | angle -5.711  | z speed  0.155  | time:  0.028
0206 : 3 Stanley2Green  | phase  1.000  | offset -17.803  | angle -5.160  | z speed  -0.062  | time:  0.028
0207 : 3 Stanley2Green  | phase  1.000  | offset -16.076  | angle -1.944  | z speed  -0.477  | time:  0.027
0208 : 3 Stanley2Green  | phase  1.000  | offset -18.252  | angle -0.035  | z speed  -0.847  | time:  0.021
0209 : 3 Stanley2Green  | phase  1.000  | offset -19.368  | angle 2.568  | z speed  -1.279  | time:  0.018
0210 : 3 Stanley2Green  | phase  1.000  | offset -22.161  | angle 4.815  | z speed  -1.712  | time:  0.024
0211 : 3 Stanley2Green  | phase  1.000  | offset -22.600  | angle 7.765  | z speed  -2.169  | time:  0.027
0212 : 3 Stanley2Green  | phase  1.000  | offset -33.159  | angle 8.106  | z speed  -2.505  | time:  0.024
0213 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.029
0214 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.027
0215 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.029
0216 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.038
0217 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.030
0218 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.037
0219 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.030
0220 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.022
0221 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.021
0222 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.020
0223 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.027
0224 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.038
0225 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.031
0226 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.031
0227 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.035
0228 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.029
0229 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.034
0230 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.033
0231 : 3 Stanley2Green  | phase  1.000  | offset -18.999  | angle 14.036  | z speed  -2.986  | time:  0.033
0232 : 3 Stanley2Green  | phase  1.000  | offset -30.109  | angle -16.172  | z speed  1.208  | time:  0.028
0233 : 3 Stanley2Green  | phase  1.000  | offset -30.109  | angle -16.172  | z speed  1.208  | time:  0.033
0234 : 3 Stanley2Green  | phase  1.000  | offset -34.451  | angle -12.953  | z speed  0.625  | time:  0.040
0235 : 3 Stanley2Green  | phase  1.000  | offset -44.480  | angle -11.860  | z speed  0.279  | time:  0.032
0236 : 3 Stanley2Green  | phase  1.000  | offset -51.079  | angle -10.204  | z speed  -0.061  | time:  0.033
0237 : 3 Stanley2Green  | phase  1.000  | offset -82.458  | angle -13.496  | z speed  0.168  | time:  0.030
0238 : 3 Stanley2Green  | phase  1.000  | offset -74.813  | angle -8.531  | z speed  -0.529  | time:  0.030
0239 : 3 Stanley2Green  | phase  1.000  | offset -52.889  | angle -1.146  | z speed  -1.441  | time:  0.032
0240 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.028
0241 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.031
0242 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.029
0243 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.024
0244 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.028
0245 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.029
0246 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.027
0247 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.028
0248 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.020
0249 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.025
0250 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.028
0251 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.029
0252 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.030
0253 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.013
0254 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.024
0255 : 3 Stanley2Green  | phase  1.000  | offset -62.500  | angle -0.000  | z speed  -1.713  | time:  0.018
